Key Name                                          	Value Shape         	
embed.weight                                      	torch.Size([958, 1024])	
pos_encoder.pe                                    	torch.Size([152, 1, 1024])	
LM_decoder.layers.0.self_attn.in_proj_weight      	torch.Size([3072, 1024])	
LM_decoder.layers.0.self_attn.in_proj_bias        	torch.Size([3072])  	
LM_decoder.layers.0.self_attn.out_proj.weight     	torch.Size([1024, 1024])	
LM_decoder.layers.0.self_attn.out_proj.bias       	torch.Size([1024])  	
LM_decoder.layers.0.linear1.weight                	torch.Size([4096, 1024])	
LM_decoder.layers.0.linear1.bias                  	torch.Size([4096])  	
LM_decoder.layers.0.linear2.weight                	torch.Size([1024, 4096])	
LM_decoder.layers.0.linear2.bias                  	torch.Size([1024])  	
LM_decoder.layers.0.norm1.weight                  	torch.Size([1024])  	
LM_decoder.layers.0.norm1.bias                    	torch.Size([1024])  	
LM_decoder.layers.0.norm2.weight                  	torch.Size([1024])  	
LM_decoder.layers.0.norm2.bias                    	torch.Size([1024])  	
LM_decoder.layers.1.self_attn.in_proj_weight      	torch.Size([3072, 1024])	
LM_decoder.layers.1.self_attn.in_proj_bias        	torch.Size([3072])  	
LM_decoder.layers.1.self_attn.out_proj.weight     	torch.Size([1024, 1024])	
LM_decoder.layers.1.self_attn.out_proj.bias       	torch.Size([1024])  	
LM_decoder.layers.1.linear1.weight                	torch.Size([4096, 1024])	
LM_decoder.layers.1.linear1.bias                  	torch.Size([4096])  	
LM_decoder.layers.1.linear2.weight                	torch.Size([1024, 4096])	
LM_decoder.layers.1.linear2.bias                  	torch.Size([1024])  	
LM_decoder.layers.1.norm1.weight                  	torch.Size([1024])  	
LM_decoder.layers.1.norm1.bias                    	torch.Size([1024])  	
LM_decoder.layers.1.norm2.weight                  	torch.Size([1024])  	
LM_decoder.layers.1.norm2.bias                    	torch.Size([1024])  	
LM_decoder.layers.2.self_attn.in_proj_weight      	torch.Size([3072, 1024])	
LM_decoder.layers.2.self_attn.in_proj_bias        	torch.Size([3072])  	
LM_decoder.layers.2.self_attn.out_proj.weight     	torch.Size([1024, 1024])	
LM_decoder.layers.2.self_attn.out_proj.bias       	torch.Size([1024])  	
LM_decoder.layers.2.linear1.weight                	torch.Size([4096, 1024])	
LM_decoder.layers.2.linear1.bias                  	torch.Size([4096])  	
LM_decoder.layers.2.linear2.weight                	torch.Size([1024, 4096])	
LM_decoder.layers.2.linear2.bias                  	torch.Size([1024])  	
LM_decoder.layers.2.norm1.weight                  	torch.Size([1024])  	
LM_decoder.layers.2.norm1.bias                    	torch.Size([1024])  	
LM_decoder.layers.2.norm2.weight                  	torch.Size([1024])  	
LM_decoder.layers.2.norm2.bias                    	torch.Size([1024])  	
LM_decoder.layers.3.self_attn.in_proj_weight      	torch.Size([3072, 1024])	
LM_decoder.layers.3.self_attn.in_proj_bias        	torch.Size([3072])  	
LM_decoder.layers.3.self_attn.out_proj.weight     	torch.Size([1024, 1024])	
LM_decoder.layers.3.self_attn.out_proj.bias       	torch.Size([1024])  	
LM_decoder.layers.3.linear1.weight                	torch.Size([4096, 1024])	
LM_decoder.layers.3.linear1.bias                  	torch.Size([4096])  	
LM_decoder.layers.3.linear2.weight                	torch.Size([1024, 4096])	
LM_decoder.layers.3.linear2.bias                  	torch.Size([1024])  	
LM_decoder.layers.3.norm1.weight                  	torch.Size([1024])  	
LM_decoder.layers.3.norm1.bias                    	torch.Size([1024])  	
LM_decoder.layers.3.norm2.weight                  	torch.Size([1024])  	
LM_decoder.layers.3.norm2.bias                    	torch.Size([1024])  	
LM_decoder.layers.4.self_attn.in_proj_weight      	torch.Size([3072, 1024])	
LM_decoder.layers.4.self_attn.in_proj_bias        	torch.Size([3072])  	
LM_decoder.layers.4.self_attn.out_proj.weight     	torch.Size([1024, 1024])	
LM_decoder.layers.4.self_attn.out_proj.bias       	torch.Size([1024])  	
LM_decoder.layers.4.linear1.weight                	torch.Size([4096, 1024])	
LM_decoder.layers.4.linear1.bias                  	torch.Size([4096])  	
LM_decoder.layers.4.linear2.weight                	torch.Size([1024, 4096])	
LM_decoder.layers.4.linear2.bias                  	torch.Size([1024])  	
